Year;RoundName;League;PlayerID;Player;G;PA;AB;R;H;RBI;2B;3B;HR;TB;XBH;SB;CS;Pick;BB;SO;HBP;S;SF;IBB;GIDP;2-out RBI;CI;RLISC;LOB;Teamname;RISP;BA;OBP;SLG;OPS;SBPct;PA/BB;BB/SO;SO/AB
2020;VR;NLB;9073;Bundi, Fa. BAR;15;40;32;10;12;13;0;0;0;12;0;2;0;0;6;3;1;1;0;0;0;3;0;3;19;Zürich Barracudas II;Jun 16;0.375;0.487;0.375;0.862;1;6.67;2;0.09
2020;VR;NLB;9085;Gall, Pe. BAR;11;24;23;2;6;3;0;0;0;6;0;1;0;0;1;3;0;0;0;0;1;2;0;2;15;Zürich Barracudas II;03. Okt;0.261;0.292;0.261;0.553;1;24;0.33;0.13
2020;VR;NLB;9108;Scheffler, Do. BAR;11;29;24;11;11;3;2;3;0;19;5;3;0;1;3;0;1;1;0;0;0;2;0;1;8;Zürich Barracudas II;05. Sep;0.458;0.536;0.792;1.327;1;9.67;-.--;0
2020;VR;NLB;9121;Werder, Ni. LIO;10;27;26;1;5;5;0;0;0;5;0;0;0;3;1;5;0;0;0;0;0;1;0;2;21;Zürich Lions;02. Dez;0.192;0.222;0.192;0.415;.---;27;0.2;0.19
2020;VR;NLB;9128;De Leon Garcia, Wa. CHA;10;17;14;3;2;3;0;0;0;2;0;0;0;1;2;6;0;0;1;0;0;0;0;1;5;Zürich Challengers II;02. Jun;0.143;0.235;0.143;0.378;.---;8.5;0.33;0.43
2020;VR;NLB;9129;Nepomuceno, Ca. CHA;3;13;10;5;3;1;1;0;0;4;1;1;0;0;1;2;2;0;0;0;1;2;0;0;5;Zürich Challengers II;01. Apr;0.3;0.462;0.4;0.862;1;13;0.5;0.2
2020;VR;NLB;9139;Derendinger, Em. FLY;6;16;14;1;2;1;0;0;0;2;0;0;0;0;2;6;0;0;0;0;0;0;0;4;8;Therwil Flyers II;01. Mai;0.143;0.25;0.143;0.393;.---;8;0.33;0.43
2020;VR;NLB;9892;Arajuo, Ti. WP2;7;19;16;3;3;2;1;0;0;4;1;2;0;0;3;3;0;0;0;0;0;0;0;4;10;Wil Pirates II;01. Sep;0.188;0.316;0.25;0.566;1;6.33;1;0.19
2020;VR;NLB;11579;Fender, Ja. FLY;10;34;29;3;4;1;1;0;0;5;1;2;0;1;4;10;1;0;0;0;0;1;0;9;29;Therwil Flyers II;Jan 13;0.138;0.265;0.172;0.437;1;8.5;0.4;0.34
2020;VR;NLB;12457;Bernhardt, Sh. UNI;14;33;29;4;6;5;0;0;0;6;0;0;0;0;3;7;0;0;1;0;0;2;0;3;17;Hünenberg Unicorns;Feb 14;0.207;0.273;0.207;0.48;.---;11;0.43;0.24
2020;VR;NLB;12479;Romang, Mi. FRO;14;51;37;12;9;11;2;0;0;11;2;7;0;0;10;10;4;0;0;0;0;2;0;7;23;Sissach Frogs;Mär 17;0.243;0.451;0.297;0.748;1;5.1;1;0.27
2020;VR;NLB;14251;Koley, Ry. CHA;4;9;7;1;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;1;1;0;1;10;Zürich Challengers II;0/3;0;0.222;0;0.222;1;4.5;2;0.14
2020;VR;NLB;14254;Rüdisühli, An. CHA;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;Zürich Challengers II;0/1;0;0;0;0;.---;-.--;0;0.67
2020;VR;NLB;15242;Fernandes, Ri. MUS;2;5;4;2;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;Embrach Mustangs;01. Feb;0.25;0.4;0.25;0.65;.---;5;-.--;0
2020;VR;NLB;15468;Falcone, Fr. CHA;8;27;23;5;8;7;1;1;0;11;2;1;2;0;3;2;1;0;0;0;0;2;0;6;18;Zürich Challengers II;Mai 15;0.348;0.444;0.478;0.923;0.333;9;1.5;0.09
2020;VR;NLB;16072;Pineda Pineda, Ru. UNI;11;43;27;17;13;14;2;1;3;26;6;9;0;0;12;3;1;0;3;0;0;5;0;6;14;Hünenberg Unicorns;04. Dez;0.481;0.605;0.963;1.568;1;3.58;4;0.11
2020;VR;NLB;16250;Kämpfer, Ba. CHA;10;28;22;7;9;5;1;0;0;10;1;2;1;0;5;3;0;0;1;0;0;2;0;1;11;Zürich Challengers II;03. Nov;0.409;0.5;0.455;0.955;0.667;5.6;1.67;0.14
2020;VR;NLB;16452;Gretener, Ad. UNI;1;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Hünenberg Unicorns;01. Jan;1;1;1;2;.---;-.--;-.--;0
2020;VR;NLB;16457;Küttel Medina, Jo. EAG;14;56;39;16;11;11;2;0;0;13;2;1;1;0;15;7;1;1;0;0;0;7;0;5;27;Luzern Eagles II;Jun 18;0.282;0.491;0.333;0.824;0.5;3.73;2.14;0.18
2020;VR;NLB;16459;Müller, Ma. UNI;13;59;43;15;11;13;4;0;0;15;4;7;0;0;9;8;5;0;2;0;0;5;0;8;22;Hünenberg Unicorns;Mai 23;0.256;0.424;0.349;0.773;1;6.56;1.13;0.19
